位号,参数,封装,数量,建议型号,LCSC 编号,关键规格,模块,备注,统一数量,来源
K1-K6,12 V 继电器,DIP 14.5x10.5mm,6,HK4100F-DC-12V,待查,触点 SPDT(1C) 3A@250VAC/30VDC; 线圈 12VDC/720ohm/16.7mA; 动作6ms/释放4ms; 接触电阻100mohm; 寿命电气10万次/机械1000万次,atu-module,"6只同时吸合约100mA; K1-K3电感位, K4-K6电容位",6,hardware/atu-module/README.md §3; docs/04 §3
U1,16位 I2C I/O 扩展器,TSSOP-24(建议),1,TCA9535,待查,I2C 地址 0x20; 3.3V; 16位准双向; 用7位(P0.0-P0.5+P1.1)余9位; INT 未使用(本方案A),atu-module,P0.0-P0.5 驱动 ULN2003A; P1.1=LCD背光; 封装需按实际来料确认,1,hardware/atu-module/README.md §3; docs/04 §3
U2,7路达林顿阵列,SOIC-16/DIP-16,1,ULN2003A,待查,500mA/路; V_CE(sat)约0.9V; COM 必须接 +12V 才能启用内部续流二极管,atu-module,6路实际16.7mA/路 -> 余量30倍; 线圈得11.1V=92% > 75%吸合阈值,1,hardware/atu-module/README.md §3; docs/04 §3
L1,12 uH 电感,磁环 T37-6 + 漆包线,1,T37-6 磁环,待查,AL=3.0nH/N^2; 约63圈; 绕组推荐0.5mm漆包线(3.5MHz趋肤深度约35um),atu-module,自绕元件; 需实测电感量与SRF,1,hardware/atu-module/README.md §3; docs/04 §3
L2,33 uH 电感,磁环 T106-6 + 漆包线,1,T106-6 磁环,待查,AL=11.6nH/N^2; 约53圈; T106-6 SRF约6.0MHz(需实测),atu-module,自绕元件; 覆盖挂树天线30-34uH需求,1,hardware/atu-module/README.md §3; docs/04 §3
L3,47 uH 电感,磁环 T106-6 + 漆包线,1,T106-6 磁环,待查,AL=11.6nH/N^2; 约64圈; T106-6 SRF约6.0MHz(需实测),atu-module,自绕元件; 覆盖实验室天线35-50uH需求,1,hardware/atu-module/README.md §3; docs/04 §3
C3,22 pF,1206 或 1812,1,NP0/COG 电容 22pF,待查,NP0(COG) 材质; 耐压 >=630V(谐振高压可达816Vrms); K4吸合时接入,atu-module,"耐压为硬约束, 不得用 X7R 替代",1,hardware/atu-module/README.md §3; docs/04 §3
C4,120 pF,1206 或 1812,1,NP0/COG 电容 120pF,待查,NP0(COG) 材质; 耐压 >=630V; K5吸合时接入,atu-module,同上,1,hardware/atu-module/README.md §3; docs/04 §3
C5,330 pF,1206 或 1812,1,NP0/COG 电容 330pF,待查,NP0(COG) 材质; 耐压 >=630V; K6吸合时接入,atu-module,同上,1,hardware/atu-module/README.md §3; docs/04 §3
"T1,T2",Tandem Match 定向耦合器磁芯,磁环 FT37-43 + 漆包线,2,FT37-43 磁环,待查,初级1匝穿芯 + 次级10匝; 耦合度 20+/-3dB; 方向性>25dB; 带内平坦度<1.0dB,atu-module,T1/T2 各1只; 43材质 3.5MHz 的 mu'' 需实测(天线README §6),2,hardware/atu-module/README.md §3; docs/04 §3
R_sense,1 kohm,0805/1206,2,金属膜电阻 1kohm,待查,"初值 1kohm, 需 NanoVNA 微调; 前向/反向各1只",atu-module,docs/05 §3.2; docs/05 §7 #4 待冻结,2,"docs/05 §3.2, §7 #4; hardware/atu-module/README.md §3"
"D1,D2",肖特基检波二极管,DO-35/DO-7,2,1N5711,待查,"与 HSMS-2850 并行对照(同一信号分别检波), 由软件选优或融合",atu-module,选型待 stage-3 实测对照(docs/05 §7 #5),2,"docs/05 §3.2, §7 #5; hardware/atu-module/README.md §3"
"D3,D4",零偏置肖特基检波二极管,SOT-23(双管)/SOD-323,2,HSMS-2850,待查,零偏置检波; 与 1N5711 并行对照,atu-module,选型待 stage-3 实测对照,2,"docs/05 §3.2, §7 #5"
U3,检波放大器(可选),SOIC-8/DIP-8,0-1,LM358,待查,是否需要运放级待 stage-4 实测决定(docs/05 §7 #6); 本行数量标 0-1 表示未定,atu-module,DO NOT populate until stage-4 verdict,0-1,docs/05 §7 #6; hardware/atu-module/README.md §3
R_esd,100 kohm 高压电阻,轴向高压电阻,1,1kV 高压电阻 100kohm,待查,天线静电泄放到地; 耐压 1kV; 可用射频专用 GDT 替代,atu-module,二选一: 高压电阻 或 GDT,1,docs/04 §3.4; hardware/atu-module/README.md §3
"Q1,Q2,Q3",N 沟道 MOSFET,TO-92,3,BS170,待查,"3管并联 E类开关功放; 总耗散能力约1.05-2.5W; 壳温<85C(2.5W连续30分钟, 热电偶实测)",pa-module,需 TO-92 散热片/底板铺铜; 无温度传感(无过温保护),3,hardware/pa-module/README.md §3; docs/04 §3
Q4 (备选),N 沟道功率 MOSFET,TO-220,0-1,IRF510,待查,Pd=20W; 需5W输出时的备选; 预留兼容焊盘,pa-module,DNP: 仅在壳温实测超限时启用,0-1,hardware/pa-module/README.md §3; docs/04 §3
D5 (或 ZD1),10V 稳压二极管,SOT-23,3,BZX84-C10,待查,"10V 双向稳压, 栅极保护; 每管1只",pa-module,注意寄生电容不得显著劣化方波边沿,3,hardware/pa-module/README.md §3; docs/04 §3
R1,10 kohm,0805,1,电阻 10kohm 1%,待查,栅极固定偏置分压上臂(自5V LDO取得约2.1V),pa-module,"纯固定偏置, 无温度补偿",1,hardware/pa-module/README.md §3; docs/04 §3
R2,2.2 kohm,0805,1,电阻 2.2kohm 1%,待查,"栅极固定偏置分压下臂, 下端直接接地",pa-module,"NTC 已取消(2026-09-26, docs/17 §12.5)",1,hardware/pa-module/README.md §3; docs/04 §3
C6,100 nF,0805,3,X7R 100nF 50V,待查,"旁路电容, 每管1只",pa-module,数量按3管计,3,hardware/pa-module/README.md §3; docs/04 §3
C7,升压输出滤波电容,电解/钽,1,待定,待查,12V 轨纹波峰峰值 <0.5V @2.5W 发射,pa-module,型号与容值待 12V 升压模块 P7 定型后确定,1,docs/05 §3.3; docs/05 §7 #7
L4-L6,低通滤波电感,磁环绕制,3,磁环 T106-6 (待定),待查,三阶椭圆低通; 中心频率 3.55MHz; 通带 3.5-3.6MHz; 7.1MHz 处衰减 >=55dB,lpf-module,磁环型号/圈数待硬件设计后填入(本模块 README 未给值),3,hardware/lpf-module/README.md §3; docs/04 §3
C8-C10,低通滤波电容,1206/1812,3,NP0/COG 电容 (待定),待查,NP0 材质; 耐压按谐振点高压留足裕量,lpf-module,容值与耐压待硬件设计后填入,3,hardware/lpf-module/README.md §3; docs/04 §3
SH1,金属屏蔽罩,模块级,0-1,定制屏蔽罩,待查,"可选, 抑制辐射耦合",lpf-module,DNP 可选,0-1,hardware/lpf-module/README.md §3; docs/04 §3
U4 (模组),ESP32-C3 主控模组,2.54mm 排针模组,1,"合宙 LuatOS ESP32C3-CORE (新款, 原生 USB)",待查,"12个可用GPIO: GPIO0-8,10,12,13; GPIO11 不解锁 eFuse; GPIO18/19 原生USB; GPIO20/21 UART0; flash 必须 DIO 模式",mcu-ui-module,"型号待用户确认: 模块README写 ESP32-C3 SuperMini, docs/05/docs/04 写合宙 LuatOS ESP32C3-CORE 新款 -> 需统一(E-01)",1,docs/05 §2.1-§2.2; docs/04 §3.5; hardware/mcu-ui-module/README.md §2
U5,160 段点阵 LCD 控制器模组,12864 模组(单排/双排待定),1,ST7567 12864 液晶模组,待查,128x64; 仅 SPI; CS 接 GND(总线唯一从机); RST 与板复位共用; DC(A0)=GPIO10; 132列驱动/128列可见,mcu-ui-module,"面板 180 度安装(W0=0, 方向位0xA0+0xC8); 排线针脚定义待硬件确认",1,hardware/mcu-ui-module/README.md §3; docs/04 §3
U6,旋转编码器,EC11 带按压开关,1,EC11 (带SW),待查,"A/B 相接 GPIO2/GPIO8 (strapping, 须各加 10kohm 上拉, 静止为高); SW 接 GPIO13+GND, 10kohm 上拉, 中断驱动",mcu-ui-module,上电时勿转动旋钮(启动画面提示),1,hardware/mcu-ui-module/README.md §3; docs/04 §3
"SW1,SW2",轻触开关,6x6mm 直插/贴片,2,轻触按键,待查,"功能键/返回键; 其中之一复用板载 BOOT(GPIO9, strapping, 上电前不可下拉)",mcu-ui-module,GPIO9 已作 KEY_USER; 另一只为独立轻触键,2,hardware/mcu-ui-module/README.md §3; docs/04 §3
LS1,有源蜂鸣器,12mm 直插,1,有源蜂鸣器 3.3V/5V,待查,"有源(自带振荡); 挂 TCA9535 空闲位驱动(未分配, 见 docs/05 §2.3)",mcu-ui-module,"GPIO 已用满, 不得直连 MCU; 驱动位待定(IOEXP_SPARE)",1,hardware/mcu-ui-module/README.md §3; docs/04 §3
U7,I2C 可编程时钟发生器,MSOP-10 模块/芯片,1,Si5351A (模块或芯片),待查,"I2C 地址 0x60; 3.3V 射频轨(MD7673, 低噪声); 3.5-3.6MHz, 100Hz 步进",mcu-ui-module,"CW 键控走 CLKx_DIS 使能命令, 不占 GPIO",1,hardware/mcu-ui-module/README.md §3; docs/04 §3
U8,八路缓冲器/线路驱动器,TSSOP-20 (PWR),1,SN74ACT244PWR,待查,"5V 供电(ACT 4.5-5.5V); TTL 输入阈值, 3.3V 可直驱; +/-24mA, 输出 0-5V 方波驱动 MOS 栅极",mcu-ui-module,"输入侧必须加 10kohm 下拉到 GND, 否则 Si5351 停振时输入悬空 -> 244 振荡 -> PA 自激发射; 每个 Vcc 加 100nF",1,docs/05 §2.5; ADR-0008 §2; hardware/mcu-ui-module/README.md §4
Q5,N 沟道 MOSFET,SOT-23,1,2N7002,待查,LCD 背光低边开关; 栅极经 R 1kohm 接 TCA9535 P1.1; Vdss=60V,mcu-ui-module,"栅极必须加 10kohm 下拉到 GND: TCA9535 上电为输入高阻, 否则背光状态不定",1,docs/05 §2.3; hardware/atu-module/README.md §3
R_BL,1 kohm,0805,1,电阻 1kohm,待查,TCA9535 P1.1 到 2N7002 栅极串联电阻,mcu-ui-module,,1,docs/05 §2.3
R_BL2,10 kohm,0805,1,电阻 10kohm,待查,2N7002 栅极下拉到 GND(上电安全),mcu-ui-module,,1,docs/05 §2.3
R_BLLED,背光限流电阻,0805,1,待定,待查,背光 LED 串限流; 阻值待模组背光电流确定,mcu-ui-module,待查模组规格,1,docs/05 §2.3
"R3,R4",10 kohm,0805,2,电阻 10kohm,待查,"EC11 A/B 上拉(strapping 强制要求, 静止为高)",mcu-ui-module,缓解2/3: 启动提示 + 看门狗重试,2,docs/05 §2.6
R5,10 kohm,0805,1,电阻 10kohm,待查,"EC11_SW 上拉到 3.3V, 按下为低(接 GND)",mcu-ui-module,,1,docs/05 §2.2; ADR-0008 §8.3
"R6,R7",4.7 kohm,0805,2,电阻 4.7kohm,待查,I2C0 SDA/SCL 上拉到 3.3V(共享总线: Si5351 + TCA9535),mcu-ui-module,,2,docs/05 §2.2
"R8,R9",10 kohm,0805,2,电阻 10kohm,待查,"SN74ACT244 输入侧下拉到 GND(每路1只, 防悬空振荡)",mcu-ui-module,"🔴 强制要求, 见 docs/05 §2.5",2,docs/05 §2.5
