位号,参数,封装,数量,建议型号,LCSC 编号,关键规格,模块,备注,统一数量,来源
K1-K6,12 V 继电器,DIP 14.5x10.5mm,6,HK4100F-DC-12V,待查,触点 SPDT(1C) 3A@250VAC/30VDC; 线圈 12VDC/720ohm/16.7mA; 动作6ms/释放4ms; 接触电阻100mohm; 寿命电气10万次/机械1000万次,atu-module,"6只同时吸合约100mA; K1-K3电感位, K4-K6电容位",6,hardware/atu-module/README.md §3; docs/04 §3
U1,16位 I2C I/O 扩展器,TSSOP-24(建议),1,TCA9535,待查,I2C 地址 0x20; 3.3V; 16位准双向; 用7位(P0.0-P0.5+P1.1)余9位; INT 未使用(本方案A),atu-module,P0.0-P0.5 驱动 ULN2003A; P1.1=LCD背光; 封装需按实际来料确认,1,hardware/atu-module/README.md §3; docs/04 §3
U2,7路达林顿阵列,SOIC-16/DIP-16,1,ULN2003A,待查,500mA/路; V_CE(sat)约0.9V; COM 必须接 +12V 才能启用内部续流二极管,atu-module,6路实际16.7mA/路 -> 余量30倍; 线圈得11.1V=92% > 75%吸合阈值,1,hardware/atu-module/README.md §3; docs/04 §3
L1,12 uH 电感,磁环 T37-6 + 漆包线,1,T37-6 磁环,待查,AL=3.0nH/N^2; 约63圈; 绕组推荐0.5mm漆包线(3.5MHz趋肤深度约35um),atu-module,自绕元件; 需实测电感量与SRF,1,hardware/atu-module/README.md §3; docs/04 §3
L2,33 uH 电感,磁环 T106-6 + 漆包线,1,T106-6 磁环,待查,AL=11.6nH/N^2; 约53圈; T106-6 SRF约6.0MHz(需实测),atu-module,自绕元件; 覆盖挂树天线30-34uH需求,1,hardware/atu-module/README.md §3; docs/04 §3
L3,47 uH 电感,磁环 T106-6 + 漆包线,1,T106-6 磁环,待查,AL=11.6nH/N^2; 约64圈; T106-6 SRF约6.0MHz(需实测),atu-module,自绕元件; 覆盖实验室天线35-50uH需求,1,hardware/atu-module/README.md §3; docs/04 §3
C3,22 pF,1206 或 1812,1,NP0/COG 电容 22pF,待查,NP0(COG) 材质; 耐压 >=630V(谐振高压可达816Vrms); K4吸合时接入,atu-module,"耐压为硬约束, 不得用 X7R 替代",1,hardware/atu-module/README.md §3; docs/04 §3
C4,120 pF,1206 或 1812,1,NP0/COG 电容 120pF,待查,NP0(COG) 材质; 耐压 >=630V; K5吸合时接入,atu-module,同上,1,hardware/atu-module/README.md §3; docs/04 §3
C5,330 pF,1206 或 1812,1,NP0/COG 电容 330pF,待查,NP0(COG) 材质; 耐压 >=630V; K6吸合时接入,atu-module,同上,1,hardware/atu-module/README.md §3; docs/04 §3
"T1,T2",Tandem Match 定向耦合器磁芯,磁环 FT37-43 + 漆包线,2,FT37-43 磁环,待查,初级1匝穿芯 + 次级10匝; 耦合度 20+/-3dB; 方向性>25dB; 带内平坦度<1.0dB,atu-module,T1/T2 各1只; 43材质 3.5MHz 的 mu'' 需实测(天线README §6),2,hardware/atu-module/README.md §3; docs/04 §3
R_sense,1 kohm,0805/1206,2,金属膜电阻 1kohm,待查,"初值 1kohm, 需 NanoVNA 微调; 前向/反向各1只",atu-module,docs/05 §3.2; docs/05 §7 #4 待冻结,2,"docs/05 §3.2, §7 #4; hardware/atu-module/README.md §3"
"D1,D2",肖特基检波二极管,DO-35/DO-7,2,1N5711,待查,"与 HSMS-2850 并行对照(同一信号分别检波), 由软件选优或融合",atu-module,选型待 stage-3 实测对照(docs/05 §7 #5),2,"docs/05 §3.2, §7 #5; hardware/atu-module/README.md §3"
"D3,D4",零偏置肖特基检波二极管,SOT-23(双管)/SOD-323,2,HSMS-2850,待查,零偏置检波; 与 1N5711 并行对照,atu-module,选型待 stage-3 实测对照,2,"docs/05 §3.2, §7 #5"
U3,检波放大器(可选),SOIC-8/DIP-8,0-1,LM358,待查,是否需要运放级待 stage-4 实测决定(docs/05 §7 #6); 本行数量标 0-1 表示未定,atu-module,DO NOT populate until stage-4 verdict,0-1,docs/05 §7 #6; hardware/atu-module/README.md §3
R_esd,100 kohm 高压电阻,轴向高压电阻,1,1kV 高压电阻 100kohm,待查,天线静电泄放到地; 耐压 1kV; 可用射频专用 GDT 替代,atu-module,二选一: 高压电阻 或 GDT,1,docs/04 §3.4; hardware/atu-module/README.md §3
R_RLY1-R_RLY6,10 kohm,0805,6,电阻 10kohm 1%,待查,🔴 ULN2003A IN1-IN6 各一只下拉到 GND; 100uA x 10kohm = 1.0V << V_I(on) 2.4V,atu-module,"🔴 强制要求(2026-09-26 新增): TCA9535 上电为输入且带约100uA弱上拉, 无下拉则 ULN 输入可能被抬到导通阈值附近 -> 6 只继电器上电误吸合; 布局尽量靠近 U2 的 IN 脚",6,hardware/atu-module/relay-wiring.md §4.2/§4.4; 私有固件仓 components/drv_relay/include/drv_relay.h
